question,answer
"小新是個剛滿5歲的好動寶寶，很愛看電視，也會隨著電視上的影片一起唱唱跳跳，非常可愛！但媽媽美美發現小新最近看電視時，卻越來越貼近電視螢幕，美美擔心小新可能有近視問題，便帶著美美前往亮亮眼鏡行（附設驗光所）驗光，想為小新配一副眼鏡，並矯正視力問題。請問亮亮眼鏡行能否為小新驗光並配鏡呢？
","一、驗光人員法第12條規定：「（第1項）驗光師之業務範圍如下：一、非侵入性之眼球屈光狀態測量及相關驗光，包含為一般隱形眼鏡配鏡所為之驗光；15歲以下者應於眼科醫師指導下為之。但未滿6歲兒童之驗光，不得為之。……（第3項）驗光人員執行業務，發現視力不能矯正至正常者，應轉介至醫療機構診治。」。
二、驗光人員法第45條規定：「（第1項）驗光人員有下列各款情事之一者，處新臺幣2萬元以上10萬元以下罰鍰；其情節重大者，並處1個月以上1年以下停業處分或廢止其執業執照：一、違反第12條第1項第1款但書或第2項第1款但書規定，為未滿6歲之兒童驗光。二、違反第12條第3項規定，未將當事人轉介至醫療機構。」。
三、驗光人員法於105年公布施行，驗光人員也成為衛生福利部所認定之醫事人員，驗光人員法更就驗光人員之資格、條件及執業範圍（驗光、配鏡）予以明文規範，以維護國人視力健康與權利。然而稚齡兒童視力異常原因甚多，特殊眼球疾病或神經疾病亦可能呈現視力異常症狀，因此對於稚齡兒童之驗光或可能需要使用特殊檢查技術，及早診斷並治療兒童視力問題，所以驗光人員法第12條明文規定，驗光人員不得為未滿6歲之兒童驗光。
四、本案例中，美美帶未滿6歲的小新前往亮亮眼鏡行驗光並配鏡，如果亮亮眼鏡行只有驗光人員單獨執行驗光業務時，依上開法令規定，亮亮眼鏡行是不能夠為小新驗光並配鏡的喔！美美應該帶著小新去至眼科診所，讓眼科醫師透過專業檢查，為小新診斷視力問題，才能夠及早發現問題所在，及時解決問題！擦亮孩子的靈魂之窗！
五、又驗光人員法施行細則第6條另規定，驗光人員對於6歲以上15歲者第一次驗光及配鏡時，應於醫師確診非假性近視，始得為之；而驗光人員對於6歲以上15歲者進行驗光時，亦應於眼科醫師指導下為之，至於醫師指導方式、時機，則可以依下列兩種方式辦理：（一）由驗光人員與眼科醫師訂定契約合作，依合作契約所定方式辦理，或是（二）由驗光人員參加中央主管機關委託專業法人、團體或機構辦理之特定課程訓練且取得完成訓練證明，依訓練證明文件指定之方式辦理，並於發現特定況狀時，出具轉介單至眼科醫師處檢查。"
"志明（69歲）日前因病逝世後，家中尚有與其同住的父母、妻子春嬌及兒子大寶（35歲），還有因結婚而未同住的女兒貝貝（30歲）及剛滿月的小孫女甜甜。家人們在承受失去親人的傷痛之餘，也要開始著手處理相關繼承事宜，請問到底誰才是志明法律上的繼承人呢？
","一、民法第1138條規定：「遺產繼承人，除配偶外，依左列順序定之：一、直系血親卑親屬。二、父母。三、兄弟姊妹。四、祖父母。」。
二、民法第1139條規定：「前條所定第一順序之繼承人，以親等近者為先。」。
三、民法第1140條規定：「第1138條所定第一順序之繼承人，有於繼承開始前死亡或喪失繼承權者，由其直系血親卑親屬代位繼承其應繼分。」
三、依上開民法相關規定，繼承開始時，遺產繼承人除配偶外，應按照「法定繼承人」順序來決定，而夫妻（配偶）、子女╱孫子女（直系血親卑親屬）、父母、兄弟姊妹及祖父母等，都有可能是法律上的繼承人。
而要注意的是，當前一順位的繼承人已合法繼承時，次一順位的繼承人就無法再主張繼承，例如：第一順位之繼承人（子女）已合法繼承時，第二順位繼承人（父母）就無法主張其也要繼承被繼承人之遺產了。又隨著不同親屬關係，各順位的法定繼承人則因親疏遠近的不同，而有不同比例的應繼承財產（應繼分）。
四、本案志明逝世後，繼承即因被繼承人死亡而開始，如果志明的太太春嬌、兒子大寶及女兒貝貝並無民法第1140條所定情事，則志明的法定繼承人僅有春嬌、大寶及貝貝等三人，並不會因為貝貝已經結婚而未與志明同住而失去繼承的權利；又志明的父母雖然與志明同住，關係也甚為親密，但因為其非第一順位繼承人，所以志明的父母也無法主張繼承志明的遺產唷！"
"18歲的毛毛為了慶祝考領普通重型機車駕駛執照，與朋友一起騎車兜風，但因毛毛對路況不熟悉，未按規定依兩段方式進行左轉，經員警當場攔停並開立「舉發違反道路交通管理事件通知單」（即俗稱之紅單）。毛毛覺得很委屈，請問毛毛應該如何提起救濟呢？
","一、道路交通管理處罰條例第8條規定：「（第1項）違反本條例之行為，由下列機關處罰之：一、第12條至第68條及第92條第7項、第8項由公路主管機關處罰。二、第69條至第84條由警察機關處罰。（第2項）前項處罰於裁決前，應給予違規行為人陳述之機會。」及第9條第1項規定：「本條例所定罰鍰之處罰，受處罰人接獲違反道路交通管理事件通知單後，於30日內得不經裁決，逕依第92條第4項之罰鍰基準規定，向指定之處所繳納結案；不服舉發事實者，應於30日內，向處罰機關陳述意見；其不依通知所定期限前往指定處所聽候裁決，且未依規定期限繳納罰鍰結案或向處罰機關陳述意見者，處罰機關得逕行裁決之。」。
二、道路交通管理處罰條例第87條規定：「受處分人不服第8條或第37條第6項處罰之裁決者，應以原處分機關為被告，逕向管轄之地方法院行政訴訟庭提起訴訟；其中撤銷訴訟之提起，應於裁決書送達後30日之不變期間內為之。」及行政訴訟法第237條之2規定：「交通裁決事件，得由原告住所地、居所地、所在地或違規行為地之地方行政法院管轄。」。
四、依上開法令規定及現行實務作法，毛毛如不服舉發通知（紅單），可以在收到通知（紅單）30日內，向應到案處所或舉發單位陳述意見。經裁決機關查證後，如認定毛毛確實未違反交通法規，裁決機關將作成免予處罰裁決書並通知毛毛；但如果經查證後，發現毛毛違規行為屬實者，裁決機關將作成裁決書並通知毛毛，毛毛仍不服該裁決時，可再向住所地、居所地、所在地或違規行為地之地方法院行政訴訟庭提起行政訴訟唷！"
"今年剛滿18歲的小志，順利考領了普通重型機車駕駛執照。小志想趁著暑假期間，完成騎機車環島旅行的願望，在旅途中，小志結交了一位志同道合的好伙伴，大型重型機車騎士大明，兩人也開始結伴旅行。途中，小志看著大明騎乘大型重型機車帥氣又拉風的模樣，也很想嘗試看看，請問剛考取駕照的小志，可不可以騎乘大型重型機車上路呢？
","一、道路交通管理處罰條例第21條規定：「（第1項）汽車駕駛人，有下列情形之一者，處新臺幣6千元以上1萬2千元以下罰鍰，並當場禁止其駕駛：……九、其他未依駕駛執照之持照條件規定駕車。（第2項）前項第九款駕駛執照之持照條件規定，由交通部定之。……」。
二、道路交通安全規則第2條第1項規定：「本規則用詞，定義如下：一、汽車：指在道路上不依軌道或電力架線而以原動機行駛之車輛（包括機車）。」。
三、道路交通安全規則第50條第1項規定：「汽車駕駛執照為駕駛汽車之許可憑證，由駕駛人向公路監理機關申請登記，考驗及格後發給之。汽車駕駛人經考驗及格，未領取駕駛執照前，不得駕駛汽車。」。
四、道路交通安全規則第60條第1項規定：「申請汽車駕駛執照考驗者，應具有下列資格：一、年齡：（一）考領普通駕駛執照、輕型或普通重型機車駕駛執照須年滿18歲，最高年齡不受限制。（二）考領大型重型機車駕駛執照須年滿20歲，最高年齡不受限制。……二、經歷：（一）應考輕型或普通重型機車駕駛執照者，無經歷之限制。（二）應考大型重型機車駕駛執照者，須領有普通重型機車駕駛執照1年以上之經歷，並經立案之駕駛訓練機構駕駛訓練結業。……」。
五、道路交通安全規則第61-1條規第1項定：「道路交通管理處罰條例第21條第2項所稱之持照條件係指駕駛人取得駕車之行車條件，除前條規定外，包括下列規定：……三、領有重型機車駕駛執照者，不得駕駛大型重型機車。」。
四、今年剛滿18歲的小志雖然已經考取普通重型機車駕駛執照，但小志只能依法只能駕駛普通重型機車或輕型機車，不得駕駛大型重型機車；小志如果騎乘大明的大型重型機車上路，將違反道路交通管理處罰條例第21條規定，而被處以新臺幣6千元以上1萬2千元以下罰鍰，並當場禁止駕駛，而且這樣一點都不帥氣！依法考取駕照，並依持照資格駕駛，才能安心騎車，安全上路！"
今（111）年17歲的大成與小婷兩情相悅，雙方在交往一段時間後，感情穩定並準備於今年訂婚、結婚，請問雙方的婚約及結婚是否有效？,"一、民法成年年齡由20歲下修為18歲，並且自明（112）年1月1日起實施，未來年滿18歲者即屬具有完全行為能力之成年人，可獨立完成有效的法律行為，而享受權利的同時，也要自己負擔責任與義務；另修正前之民法關於訂婚及結婚年齡之規定，是依照「性別」作出不同年齡限制，但因不同性別而有差別待遇的規定，有悖於公民與政治權利國際公約第23條第2項、消除對婦女一切形式歧視公約（簡稱CEDAW）第15條第1項、第16條第1項a款及第2項等規定，亦與國際人權與性別平等精神有違，故納入本次民法修正案併同修正。
二、現行有效（即修正前）之民法第12條規定：「滿20歲為成年。」、民法第973條規定：「男未滿17歲，女未滿15歲者，不得訂定婚約。」及民法第980條規定：「男未滿18歲，女未滿16歲者，不得結婚。」。
三、而依據修正後之民法第12條規定：「滿18歲為成年。」、第973條規定：「男女未滿17歲者，不得訂定婚約。」及第980條規定：「男女未滿18歲者，不得結婚。」，相關規定雖於110年1月13日即已修正，然考量其修正影響層面甚大，尚需輔以各項配套措施，爰定於112年1月1日始正式施行。
四、現年17歲的大成與小婷於今（111）年訂婚，依訂婚時有效之民法第973條及第974條規定，經過雙方父母（法定代理人）同意後，兩人訂定之婚約應屬有效；大成與小婷如於今（111）年結婚，依據結婚時有效之民法第980條規定，因大成尚未滿18歲，兩人依法不得結婚。愛情雖然沒有距離，但訂婚與結婚之年齡限制，真的是法律上必需注意的問題唷！"
"志明與春嬌是從小一起長大的青梅竹馬，正值14歲的他們一起升上國中就讀，也開始談起純純的戀愛，但青澀懵懂的他們差一點就情不自禁而偷嚐禁果，但兩人還是覺得彼此太過年輕，不太適合進入下一個階段而作罷。
","一、中華民國刑法第227條規定：「（第1項）對於未滿14歲之男女為性交者，處3年以上10十年以下有期徒刑。（第2項）對於未滿14歲之男女為猥褻之行為者，處6月以上5年以下有期徒刑。（第3項）對於14歲以上未滿16歲之男女為性交者，處7年以下有期徒刑。（第4項）對於14歲以上未滿16歲之男女為猥褻之行為者，處三年以下有期徒刑。（第5項）第1項、第3項之未遂犯罰之。」。
二、中華民國刑法第227-1條規定：「18歲以下之人犯前條之罪者，減輕或免除其刑。」。
三、刑法第227條規定除在保障個人性自主決定權及身體控制權外，更有保護「兒童及少年身心健康發展權」之目的，因此，對於特定年齡之兒童及少年，無論其有無意願或決定權，均一律加以保護，故以「年齡」作為犯罪構成要件；但為免年齡相若之年輕男女因相戀自願發生性行為，均一律以刑罰論處之過苛情形，刑法第227條之1另有減輕或免除其刑之規定。
四、志明與春嬌為剛滿14歲之未成年人，縱使兩情相悅而發生性交或猥褻行為，雙方都可能觸犯刑法第227條罪責，雖有第227條之1得以減輕或免除其刑之規定，但仍屬違法行為。兩小無猜的青春戀曲，本應是一首甜蜜而輕快的樂章，千萬別讓一時的衝動，而讓這首青春的歌曲變了調。性，真的很有關係！"
"4歲的小乖正值懵懵懂懂、需要大人指導與教育的年紀，但小乖的父母因為工作無法陪伴在小乖身邊，只好將小乖托給同住的阿姨照顧。小乖阿姨因為年歲較長，無法管束活潑好動的小乖，如果小乖調皮、不聽話，阿姨便大聲辱罵小乖、不讓小乖吃飯，甚至將小乖關在封閉又黑暗的廁所裡，要小乖「自我反省」。長期以來，小乖內心充滿恐懼感，變得很容易不安與焦躁，也有營養不良的現象，小乖父母返家後發現小乖的異狀，趕緊將小乖送往醫院治療。
","一、家庭暴力防治法相關規定：（一）第2條規定：「本法用詞定義如下：一、家庭暴力：指家庭成員間實施身體、精神或經濟上之騷擾、控制、脅迫或其他不法侵害之行為。……六、加害人處遇計畫：指對於加害人實施之認知教育輔導、親職教育輔導、心理輔導、精神治療、戒癮治療或其他輔導、治療。」（二）第3條規定：「本法所定家庭成員，包括下列各員及其未成年子女：一、配偶或前配偶。二、現有或曾有同居關係、家長家屬或家屬間關係者。三、現為或曾為直系血親或直系姻親。四、現為或曾為四親等以內之旁系血親或旁系姻親。」（三）第50條規定：「（第1項）醫事人員、社會工作人員、教育人員、保育人員、警察人員、移民業務人員及其他執行家庭暴力防治人員，在執行職務時知有疑似家庭暴力，應立即通報當地主管機關，至遲不得逾24小時。……」
二、為防治家庭暴力行為及保護被害人權益，我國於87年制定「家庭暴力防治法」，更是亞洲第一部規範家庭暴力行為的法律！打破傳統「法不入家門」的觀念，家庭暴力防治法明確規範家庭暴力行為，更引進保護令制度、建立加害人輔導與治療制度，強化預防與治療並重之防治工作。
三、小乖父母因工作關係，無法親自陪伴小乖成長，將小乖交由同住阿姨照顧，小乖阿姨即屬家庭暴力防治法所稱之家庭成員；而家庭暴力防治法所稱家庭暴力行為更不限於身體上的傷害行為，也包括精神暴力、經濟暴力等行為。本案中，小乖阿姨過當管教行為，雖然未必構成刑事法所稱傷害罪，但已屬於家庭暴力防治法所稱家庭暴力行為，小乖阿姨如有違反相關規定時，相關司法及行政機關即可介入防範或管制；家庭暴力行為不應該被姑息、縱容，當自己或身邊有人遭受虐待時，一定要選擇求援，尋求立即的幫助，才是保護自己，也保護家人的最好方法。"
"年滿18歲的高三生小呆很喜歡扭蛋玩偶，每次下課後都會到附近商家去投幣轉扭蛋，但長期下來也花掉了小呆不少存款；某天，小呆發現遊樂場代幣跟10元硬幣形狀、大小、重量等都很相似，他心想或許可以騙過扭蛋機，便試著投幣轉扭蛋，沒想到扭蛋機果然無法辨識，當場就讓小呆轉到不少扭蛋，他也心滿意足的抱著這些免費的扭蛋回家！商家老闆在盤點扭蛋機器硬幣時發現夾雜遊樂場代幣，立刻報警處理，調閱監視器後發現是小呆所為，請問小呆此舉是否有法律上責任？
","一、刑法第339條之1規定：「（第1項）意圖為自己或第三人不法之所有，以不正方法由收費設備取得他人之物者，處1年以下有期徒刑、拘役或10萬元以下罰金。（第2項）以前項方法得財產上不法之利益或使第三人得之者，亦同。（第3項）前二項之未遂犯罰之。」，不正利用收費設備詐欺罪係因目前社會自動付款或收費設備之應用，日益普遍，如以不正方法由此種設備取得他人之物或得財產上不法利益，不只有損業者權益，而且破壞社會秩序；本條所稱「不正方法」泛指一切不正當方法而言，並不以施用詐術為限，任何意圖規避給付對價，而以不合設備所定使用規則，操縱該設備取得他人之物或財產上不法利益，例如使用偽幣免費取得自動售物機內之物品、使用偽造儲值卡扣減儲值而免費取得物品或服務等。
二、小呆明知應以10元硬幣投入扭蛋機（收費設備），才能合法取得扭蛋，卻以遊樂場代幣偽冒10元硬幣欺騙扭蛋機，讓機器誤以為代幣為10元硬幣而售出扭蛋，然扭蛋係屬商家老闆所有之財物，依上開刑法規定，小呆是利用不正方法由收費設備取得他人之物，其已經觸犯不正利用收費設備罪。
三、綜上，免費的扭蛋卻換來的最昂貴的代價，而小呆一時貪小失大的行為，讓他最愛的扭蛋不再充滿解憂的樂趣，不可不慎！"
"年滿18歲的高三學生阿雄富有正義感，看到不平之事常常仗義執言；某天阿雄看到同班同學阿凱躲在角落抽煙，便向前制止，沒想到阿凱惱羞成怒，開始對阿雄拳打腳踢更造成阿雄因此全身瘀青；傷癒後的阿雄開始悶悶不樂，更開始害怕上學。請問阿凱此舉是否有法律上責任？
","一、刑法第277條第1項規定：「傷害人之身體或健康者，處5年以下有期徒刑、拘役或50萬元以下罰金。」，傷害罪所要保護的是個人身體或健康法益，避免受到不法侵害；另外依刑法第287條規定，普通傷害罪屬於告訴乃論之罪，也就是說，普通傷害罪之成立必須以被害人（或其他具有告訴權之人）提起告訴為前提。
二、民法第184條規定：「（第1項）因故意或過失，不法侵害他人之權利者，負損害賠償責任。（第2項）故意以背於善良風俗之方法，加損害於他人者亦同。違反保護他人之法律，致生損害於他人者，負賠償責任。但能證明其行為無過失者，不在此限。」、第193條第1項規定：「不法侵害他人之身體或健康者，對於被害人因此喪失或減少勞動能力或增加生活上之需要時，應負損害賠償責任。」及第195條第1項規定：「不法侵害他人之身體、健康、名譽、自由、信用、隱私、貞操，或不法侵害其他人格法益而情節重大者，被害人雖非財產上之損害，亦得請求賠償相當之金額。其名譽被侵害者，並得請求回復名譽之適當處分。」，個人之身體或健康受到他人不法侵害時，得請求加害人應負損害賠償責任，賠償範圍除因此所受損害、所失利益外，更包括受害人因此喪失勞動能力所受損害、增加生活需要之支出及非財產上之損害等。
三、綜上，阿凱違反校園規定抽煙，阿雄基於好意勸諫阿凱不要抽煙，阿凱卻惱羞成怒，故意將阿雄毆打成傷，阿雄除了可以向阿凱提起普通傷害罪之告訴外，也可以向阿凱請求賠償其身體健康受損之財產損害及非財產損害；阿凱衝動的行為讓阿雄身心都受到不小的打擊與傷害，而相對地阿凱也要承擔相關刑事及民事責任，一個衝動的行為卻讓兩人青春歲月都印上黑青色的記憶。"
"年滿20歲的大三學生花花因不滿同學美美在班上人緣極佳，因一時嫉妒，竟當著全班同學面前捏造並嘲諷美美腦袋不好，是白癡笨蛋等語，讓美美覺得非常難過，請問花花此舉是否有法律上責任？
","一、刑法第309條第1項規定：「公然侮辱人者，處拘役或9千元以下罰金」，公然侮辱罪所要保護的是個人經營社會群體生活的人格評價，避免受到不當詆毀，而減損或貶抑被害人之人格或地位評價，所以，在不特定人可以聞見之公共場合，用粗鄙語言向特定之人為辱罵，且該語言含義又足以減損該特定人聲譽時，可能構成刑法之公然侮辱罪；另外依刑法第314條規定，公然侮辱罪屬於告訴乃論之罪，也就是說，公然侮辱罪之成立必須以被害人（或其他具有告訴權之人）提起告訴為前提。
二、民法第195條第1項規定：「不法侵害他人之身體、健康、名譽、自由、信用、隱私、貞操，或不法侵害其他人格法益而情節重大者，被害人雖非財產上之損害，亦得請求賠償相當之金額。其名譽被侵害者，並得請求回復名譽之適當處分。」，為保護名譽不法侵害之人，其得向加害人請求賠償關於非財產上之損害；但加害人之賠償責任仍應以相當之金額為限，也就是賠償金額必須衡量個案實際加害情形與名譽影響是否重大，及被害者之身分地位與加害人經濟狀況等關係綜合決定之。
三、綜上，花花明知美美並無腦袋不好的情形，居然在全班同學面前侮辱美美，造成同學對於美美的評價降低，使美美名譽受到損害，美美除了可以向花花提起公然侮辱罪之告訴外，也可以向花花請求賠償名譽受損之相當金額；而花花因為一時衝動，禍從口出，使美美內心留下深刻的傷害，更可能負擔刑事及民事賠償責任，真的是得不償失！"
"剛剛年滿18歲大學一年級新生小明想要購買一台昂貴跑車，並與業者簽訂跑車買賣契約，是否有效。
","一、為使民法成年之定義與刑事責任及行政罰責任之完全責任年齡相符（刑法第18條、行政罰法第9條均規定為18歲），另考量現今社會網路科技發達、大眾傳播媒體普及、資訊大量流通，青年之身心發展及建構自我意識之能力已不同以往，且世界多數國家關於成年年齡規定多為18歲，為使民法成年定義符合社會青年身心發展現況，保障其權益，並與國際接軌，我國於110年1月13日修正關於民法成年之定義，並明定於112年1月1日施行。
二、民法關於成年定義修正之相關規定，簡述如下：（一）民法修正後，成年年齡將由原先20歲，修正為18歲。（二）關於未成年人結婚及訂婚年齡之限制，不再因性別而有不同；最低結婚年齡均為18歲，最低訂婚年齡均為17歲，並刪除未成年人因結婚而取得行為能力及相關規定。（三）綜上，民法修正施行後，滿18歲之人即為成年人，亦即有完全行為能力，相對地，也必須負擔各項法律行為責任。
三、舉例而言，剛剛年滿18歲大學一年級新生小明想要購買一台昂貴跑車，並與業者簽訂之買賣契約，是否有效？
（一）依現行有效民法第12條及第13條規定，小明為限制行為能力人（7歲以上但未滿20歲），並不具有完全行為能力；因此，小明縱與業者簽訂跑車買賣契約，在法定代理人（如父母）同意該買賣契約前，這份契約並不會因為小明已經簽名而發生效力。（二）但在112年1月1日以後，依修正後民法第12條規定，小明為成年人（年滿18歲）並具有完全行為能力；因此，小明可以單獨決定簽訂跑車買賣契約，不需得到法定代理人同意，該份契約已發生法律上效力。（三）民法修正並於112年1月1日施行後，年滿18歲青年將成為法律上之成年人，可以單獨決定是否簽訂契約，甚至決定是否結婚，不再如過去需要法定代理人同意，才會發生法律上的效力。溫馨提醒父母及孩子們注意這項規定的修正，才能一起迎接更美好的成年生活！"
"小明某日於KTV飲酒歡唱後，搭乘小華駕駛其所有之計程車返家，途中因酒醉在車上嘔吐，致嘔吐物佈滿計程車後座區及右後門。則小明有何法律責任？
","一、關於刑事法律責任：
刑法第354條：「毀棄、損壞前二條以外之他人之物，或致令不堪用，足以生損害於公眾或他人者，處二年以下有期徒刑、拘役或五百元以下罰金。」係屬普通毀損罪之規定。而本罪之「致令不堪用」係指以毀棄、損壞以外之其他方法，雖未毀損原物，但已喪失物之「功能效用」而言。本案中，車上之嘔吐物經清洗即可，並未致車輛不堪使用，因此尚難對小明以毀損罪處罰之。
二、關於民事法律責任：
(一)小明嘔吐的行為對小華成立侵權行為民法第184條第1項：「因故意或過失，不法侵害他人之權利者，負損害賠償責任。故意以背於善良風俗之方法，加損害於他人者亦同。」此條文為侵權行為之規定。本案中，小明因酒醉在小華所有之計程車上嘔吐，造成小華之車輛髒污，小華因此受有財產損害，小明已構成侵權行為。
(二)小明須對小華負以下損害賠償責任按「負損害賠償責任者，除法律另有規定或契約另有訂定外，應回復他方損害發生前之原狀。」、「第一項情形，債權人得請求支付回復原狀所必要之費用，以取代回復原狀。」。「損害賠償，除法律另有規定或契約另有約定外，應以填補債權人所受損害及所失利益為限。」民法第213條第1項、第3項及第216條第1項分別定有明文。因此，小華可依民法第213條第1項、第3項之規定，要求小明回復原狀(即髒污之清潔)，或可直接向小明請求車輛清潔費用之損害賠償(即直接請求清潔之必要費用)。另外，小華之計程車如因嘔吐穢物臭味久久未能散去致無法正常營業所造成的損失，另可依民法第216條第1項向小明請求賠償營業損失。"
"小莉某日帶著所飼養的小型寵物狗至公園遛狗，驚見一隻大型比特犬從遠處衝來，將她所養的小狗拖在地板上狠咬，導致其愛犬背部被咬出5個傷口，小莉緊急將愛犬送至動物醫院救治，花費10,000元醫療費用。事件發生後，闖禍的男飼小明竟還冷回「我家的狗平時很乖，一定是被妳的狗挑釁才會失控」，令小莉感到十分憤怒便將經過PO上網，小莉並認為該比特犬的飼主小明應該接受處罰，並賠償愛犬10,000元的醫藥支出，法規依據為何？ ","一、違反動物保護法之行政責任： 依動物保護法(下稱「動保法」)第20條規定，具攻擊性之寵物出入公共場所或公眾得出入之場所，應由成年人伴同，並採取適當防護措施。至於「具攻擊性之寵物」及「其所該採取之防護措施」之規定，則由中央主管機關(即農委會)公告。 又依照農委會於民國 104年09月23日以農牧字第1040043358號公告「具攻擊性寵物及其出入公共場所該採取之防護措施」之相關規定，「具攻擊性之寵物」是指「危險性犬隻」及「無正當理由曾有攻擊人或動物行為紀錄之犬隻」。又「危險性犬隻」是指比特犬、日本土佐犬、紐波利頓犬、阿根廷杜告犬、巴西菲勒犬、獒犬及與上述犬隻混血之犬隻。如將具攻擊性之寵物帶至公共場所，須遵守以下規定：(一)以長度不超過1.5公尺之繩或鍊牽引、(二)配戴不影響散熱之透氣口罩。
本案中，該比特犬飼主小明未依前述規定備妥相關防護措施即出入公共場所或公眾得出入之場所，主管機關得依動保法第29條規定處飼主新臺幣3萬元以上15萬元以下罰鍰。
並且，飼主可能會因違反動保法第7條未履行防止寵物無故侵害他人之義務，主管機關得依動保法第32條第3項第3款，逕行裁處沒入飼主之動物。然而，此部分實務上(參照最高行政法院92年判字第242號判決)認為，飼主因管理不善致犬隻侵害他人，如歸咎於犬隻即處以沒入，形同處以該犬極刑，有悖保護動物本旨，除非個案中犬隻侵害的事實情節重大，主管機關通常不會裁處沒入犬隻。
二、民事賠償責任：民法第184條第1項前段規定「因故意或過失，不法侵害他人之權利者，負損害賠償責任。」、同法第190條第1項前段規定「動物加損害於他人者，由其占有人負損害賠償責任。」飼主小明未依上開動保法等相關規定，在公眾場所對自己的比特犬採取安全防護措施，因而造成小莉的愛犬遭到咬傷，小明未盡動物管理人之注意義務，已構成不作為之侵權行為責任，小莉為此支出醫藥費用10,000元是受有財產上之損害，小明對於小莉財產上之損害(支出醫藥費用)依法應負損害賠償責任。"
"小明與小美是情侶關係，小明為了自己平日上下班的便利，以及假日便於搭載小美一同外出旅遊，於是決定購買一輛全新的休旅車。然而，小明因為曾經發生多次駕車肇事的不良記錄，所以應繳的汽車保險費率甚高，小明為了繳交較為低廉的汽車保險費，乃與小美約定將所購買的汽車借名登記在小美的名下。怎知，半年之後，小明與小美卻因為個性不合而分手，且雙方發生嚴重爭吵以致於無法溝通，小明要求處理車輛登記乙事，小美皆不予理會。請問，小明要如何辦理汽車過戶登記回自己名下？
","汽車為動產，而動產所有權的移轉，只需要「讓與合意」+「交付」即已足，故車商就汽車與小明有讓與合意，並將汽車交付給小明，小明即取得汽車所有權。至於在監理機關辦理過戶，則屬行政管理事項，非汽車所有權移轉之法定要件。故汽車雖登記於小美名下，但小明才是汽車所有權人，因為小明並沒有對汽車所有權的移轉與小美有讓與合意。
本案中，小明為了要降低保費，將汽車借名登記於小美名下，而借名登記契約的性質，實務見解認為(最高法院106年台上字2678號判決)，應類推適用民法「委任」契約之規定。又依民法第549條第1項規定，當事人之任何一方，得隨時終止委任契約。故小明與小美成立汽車借名登記契約，其契約類推適用民法委任之規定，又按照上述民法規定，小明可以隨時終止與小美的借名登記契約。
汽車借名登記契約一經終止，依法即向後失效，小美享有「登記之利益」則屬無法律上之原因，也就是說，汽車先前之所以可以登記在小美名下，是因為有借名登記契約的依據，但該契約如果被終止，則小美的汽車登記就開始無所憑據。因此，小美構成民法第179條之「不當得利」，依法應將該「登記之利益」返還給小明，亦即，將汽車過戶登記為小明名下。
由於監理機關為牌照登記管理機關，汽車之登記僅形式審查，不問實際所有權人，辦理車輛過戶登記應出示雙方車主證明文件，表示他們移轉登記是合意的，若其中一方不同意辦理過戶，則另一方應持有雙方車主協同配合至監理機關辦理過戶之判決確定，監理機關始能認定雙方合意過戶。因此，小明應先終止借名登記契約，再本於其為汽車之所有權人，以訴訟請求小美應協同小明至監理機關辦理汽車借名登記之異動，將汽車過戶登記於小明名下。"
