question,answer
"小王帶著女友小芳連夜喝酒應酬，因為小芳不會喝酒，所以只有喝汽水。小王結束應酬後已經酒醉頭暈，仍逞強開車載小芳回家，但因酒後注意力減低、反應變慢，不慎追撞前方等紅燈的機車騎士，造成機車騎重摔在地。小王驚醒後，深怕自己酒後駕車撞人，將遭判重刑，所以央求小芳變換位置，冒充為駕駛。小芳深怕小王坐牢，只好答應冒充駕駛的請求；警方到場後將騎士送醫並實施酒測，騎士脊椎受傷下半身癱瘓，而小王酒測值為吐氣酒精濃度每公升0.75毫克、小芳酒測值則為0，然小芳卻向警察堅稱是自己駕車不慎撞傷騎士的，請問小王觸犯何罪? 小芳觸犯何罪？
", 壹、小王觸犯何罪？ 一、小王成立刑法不能安全駕駛致人重傷罪：騎士下半身癱瘓，符合刑法第10條第4項「毀敗或嚴重減損一肢以上之機能」重傷之定義­；而小王酒測值吐氣酒精濃度每公升0.75毫克，已達刑法第185-3條1項「吐氣所含酒精濃度達每公升零點二五毫克以上」之標準，屬於不能安全駕駛行為，小王的酒後肇事造成機車騎士受重傷，觸犯刑法第185條之3第2項不能安全駕駛致人重傷罪。 二、小王不成立教唆頂替罪： 依最高法院判例見解：「犯人自行隱避，在刑法上既非處罰之行為，則教唆他人頂替自己以便隱避，當然亦在不罰之列。」。小王雖教唆小芳頂替自己，按上開判例意旨，小王並不構成刑法第29條及第164條第2項之教唆頂替罪。 貳、小芳觸犯何罪？ 一、刑法第164條第2項頂替罪所處罰的「頂替」行為，包括「單純頂替」與「冒名頂替」。單純頂替例如：甲是犯罪行為人，乙竟出面向檢警機關冒稱自己是該起犯罪的行為人，並接受偵審。冒名頂替例如：甲是犯罪行為人，乙竟出面向檢警機關冒稱自己是甲，並接受偵審。 二、本案小王因為酒後駕車，無法安全駕駛，撞傷機車騎士致重傷，觸犯刑法不能安全駕駛致重傷罪。小芳明知前揭情事，竟為意圖使小王隱避而予以頂替，與小王互換座位，並冒稱為駕駛，誤導檢警偵辦方向，浪費司法資源，且有導致檢察官誤起訴及法院誤判之虞，已觸犯刑法第164條第2項之「意圖使人犯隱避而頂替罪」。
"李太太於結婚後，對於李先生經常賭博酗酒的惡習感到無法忍受；多次溝通無效後，李太太遂向李先生提出離婚的要求。為了迅速完成離婚手續，李太太在公司先請兩位同事在離婚協議書上的證人欄位簽名，下班後再將離婚協議書帶回家，自己簽名後，也要求李先生一起簽名。隔天一早，李太太與李先生一起帶著離婚協議書，前往戶政事務所辦理離婚登記。不料李先生嗣後後悔，向法院主張離婚無效，請問，該離婚是否合法有效？
",一、按「兩願離婚，應以書面為之，有二人以上證人之簽名並應向戶政機關為離婚之登記。」民法第1050條定有明文。顯見，兩願離婚時，應具備：1、書面（離婚協議書）；2、二人以上證人之簽名；3、共同向戶政機關為離婚登記等3個要件。二、依最高法院實務見解：「民法第1050條所謂二人以上證人之簽名，固不限於作成離婚證書時為之，亦不限於協議離婚時在場之人，始得為證人，然究難謂非親見或親聞雙方當事人確有離婚真意之人，亦得為證人。」換言之，離婚證人須親自見聞雙方有離婚之真意，始足當知；本案中的離婚證人(李太太的二位同事)，只知道李太太有離婚的意思而簽名於離婚證明書，未曾親自見聞李先生確有離婚之真意，依上述見解，自難認兩造間之協議離婚，已具備民法1050條之法定要件。三、小結：本案例李太太的二位公司同事因為並未親見或親聞李先生確有離婚真意，只依憑李太太片面之詞，即簽名於離婚協議書。因此，本案離婚應屬無效，婚姻關係仍然存續。
"林先生婚後每日酗酒未拿錢養家，之後更離家出走，留下林太太獨自扶養就讀國小的女兒。事隔多年，林先生的女兒已成年，林先生卻晚年罹癌，無法工作，經濟困難，便向女兒請求每月給他新臺幣15,000元生活費，以盡扶養義務，惟林先生的女兒目前亦無工作並無經濟收入。試問早年未對女兒盡扶養義務的林先生，是否可以請求女兒盡扶養義務？
", 一、「直系血親相互間，互負扶養義務。」「受扶養權利者，以不能維持生活而無謀生能力者為限。前項無謀生能力之限制，於直系血親尊親屬，不適用之。」「因負擔扶養義務而不能維持自己生活者，免除其義務。但受扶養權利者為直系血親尊親屬或配偶時，減輕其義務。」為民法第1114條第1款、第1117條第、第1118條所明定。是扶養義務之發生，必須受扶養權利人有受扶養之必要， 且扶養義務人有扶養之可能。而直系血親尊親屬受扶養者，仍須以不能維持生活為限。至所謂不能維持生活，係指不能以自己之財產及勞力所得以維持自己之生活而言。 二、按受扶養權利者對負扶養義務者無正當理由未盡扶養義務，且情節重大者，法院得免除負扶養義務者對受扶養權利者之扶養義務，民法第1118條之1第2項亦定有明文。 三、小結：本案林先生雖有不能維持生活之事實，但其對女兒於應予扶養階段，拋棄女兒，無正當理由未對女兒克盡父親之扶養義務，情節重大，所以林先生的女兒得請求法院免除其對林先生的扶養義務。 四、配合民法第1118條之1之減輕或免除扶養義務的修正規定，刑法第294條之1規定，對於無自救力之人（例如：本案之林先生，以下同），依民法親屬編應扶助、養育或保護，因無自救力之人前對其（例如：本案之林先生的女兒）無正當理由未盡扶養義務持續逾2年，且情節重大者，而不為無自救力之人生存所必要之扶助、養育或保護者，不罰。亦即本案之林先生的女兒可不負遺棄罪刑責。
小玉與小強結婚後一起生活至今已有三年，在婚姻生活當中，小強因為酗酒成習，常常於酒後在家中辱罵小玉，甚至對小玉拳打腳踢。上星期小強又故態復萌，在酒後揚言要將小玉打死，並持續猛力毆擊小玉頭部數拳，直到小玉昏倒不省人事，造成小玉頭部重創。小玉事後雖然康復，但是已極為驚恐，不敢再與小強相處！請問，小玉可以採取哪些法律行動，以保障自己的權利？,"一、家庭暴力防治法之規定： 按照家庭暴力防治法第2條第1款的規定，家庭暴力是指家庭成員間實施身體或精神上不法侵害之行為。小玉可以依家庭暴力防治法第8條之規定向直轄市、縣（市）主管機關所設立之家庭暴力防治中心求助(臺中市家庭暴力及性侵害防治中心，服務諮詢專線：04-22289111分機38800；全國24小時保護專線「113」)，以及依家庭暴力防治法第10條之規定向法院聲請保護令。
二、訴請裁判離婚與侵權行為損害賠償：

按「夫妻之一方，有下列情形之一者，他方得向法院請求離婚：……三、夫妻之一方對他方為不堪同居之虐待。……六、夫妻之一方意圖殺害他方。……。」、「有前項以外之重大事由，難以維持婚姻者，夫妻之一方得請求離婚。……。」民法第1052條第1項第3款、第6款、1052條第2項前段分別定有明文。小玉得依前揭民法第1052條第1項第3款、第6款、第1052條第2項前段等規定向法院請求裁判離婚。
按「因故意或過失，不法侵害他人之權利者，負損害賠償責任。」民法第184條第1項前段定有明文。次按「不法侵害他人之身體、健康、……，或不法侵害其他人格法益而情節重大者，被害人雖非財產上之損害，亦得請求賠償相當之金額。……。」民法第195條第1項前段亦定有明文。小玉得依前揭民法第184條第1項前段之規定請求損害賠償，亦得依前揭民法第195條第1項前段請求非財產上之損害賠償。

三、提出傷害罪與殺人未遂罪之刑事告訴： 按「傷害人之身體或健康者，處三年以下有期徒刑、拘役或五十萬元以下罰金。」刑法第277條第1項定有明文。再按「殺人者，處死刑、無期徒刑或十年以上有期徒刑。」、「前項之未遂犯罰之。」刑法第271條第1項、第2項亦定有明文。小玉得依前揭刑法第277條第1項、第271條第1項、第2項之規定，向警察局或地檢署對小強提出傷害或殺人未遂的刑事告訴，追究小強的刑事責任。"
"小明下雨天持傘到餐廳吃飯，離開時，將別人放在門口的雨傘誤以為是自己的雨傘而拿走。請問，小明是否該當刑法第320條第1項竊盜罪？
","按「意圖為自己或第三人不法之所有，而竊取他人之動產者，為竊盜罪，處五年以下有期徒刑、拘役或五十萬元以下罰金。」刑法第320條第1項定有明文。小明因為將別人的雨傘「誤認」為是自己的，才加以拿走，所以並不具備為自己或第三人不法所有之意圖，因此，並不該當刑法第320條第1項所定之竊盜罪。
"
小明與小華各出資一半購買一台筆記型電腦，約定共有該筆記型電腦，並由小華保管使用。某日，小明因為缺錢，在未告知小華的情況下，私自將該筆記型電腦拿走，並賣掉換取現金花用。請問，小明是否該當刑法第320條第1項竊盜罪？,按「共有人竊取在他人持有中之共有動產者，應成立竊盜罪。」最高法院25年5月12日刑事庭決議著有明文。案例中筆記型電腦雖是小明與小華所共有，但是由於筆記型電腦是在小華的持有當中，小明加以竊取，仍該當刑法第320條第1項所定之竊盜罪。
小明因為毒癮發作，於是私自將室友小華所持有的甲基安非他命拿走並吸食。請問，小明是否該當刑法第320條第1項竊盜罪？,按「竊盜罪之標的物，不以非違禁物為限。鴉片雖係違禁物品，竊取之者仍應成立刑法第三百二十條第一項之罪。」，司法院院字第2348號解釋著有明文。小華持有的甲基安非他命雖屬違禁物品，小明將其竊取，仍該當刑法第320條第1項所定之竊盜罪。另外，甲基安非他命屬毒品危害防制條例第2條第2項第2款所列之第二級毒品，不得非法持有、施用。小華如「持有」進而「施用」，係犯毒品危害防制條例第10條第2項之施用第二級毒品罪。雖然小華先「持有」第二級毒品甲基安非他命，進而「施用」，低度持有行為被施用之高度行為所吸收。故小華依毒品危害防制條例第10條第2項：「施用第二級毒品者，處三年以下有期徒刑。
"國稅局寄發補稅單給住在公寓大廈的小明，並由大廈管理員代收，小明認為公寓大廈管理委員會僱用之管理員僅有從事保全工作，不能代為收領文書，國稅局之補稅單送達不合法；究竟公寓大廈之管理員有無權限代為收領文書？ 
",「送達，於應受送達人之住居所、事務所或營業所為之。但在行政機關辦公處所或他處會晤應受送達人時，得於會晤處所為之。」、「應受送達人有就業處所者，亦得向該處所為送達。」、「於應送達處所不獲會晤應受送達人時，得將文書付與有辨別事理能力之同居人、受雇人或應送達處所之接收郵件人員。前項規定於前項人員與應受送達人在該行政程序上利害關係相反者，不適用之。應受送達人或其同居人、受雇人、接收郵件人員無正當理由拒絕收領文書時，得將文書留置於應送達處所，以為送達。」，行政程序法第72條第1項及第3項、第73條定有明文。 一般公寓大廈為謀全體住戶之方便，多設有管理處或管理委員會，以統一處理大廈內各種事務，並僱用管理員或委由專業保全公司負責大廈之安全事宜及代收文件等工作，該管理員或保全人員之性質，即與行政程序法第73條第1項前段所規定之「受雇人」相當；故應送達大廈內住戶之文書，如蓋有管理委員會之章，足證管理委員會有授權管理員代收郵件，否則不會將管理委員會之收發章交管理員使用，並由管理員以受僱人身分簽名簽收，即發生合法送達於本人之效果。至該管理員何時將文書轉交應受送達人，對已生之送達效力不受影響。
"因一場車禍造成未成年的小明父母雙亡且無遺囑指定監護人，小明無兄弟姊妹，祖父母亦早已亡故，如何替小明「選定」監護人？ 
","民法關於未成年人之監護人制度設計，係在使監護人擔任保護未成年人之利益，及管理、代理未成年人財產為目的之制度。未成年人無父母，如父母死亡、受死亡宣告或父母均不能行使、負擔對於其未成年人之權利義務，無論其為事實上或法律上不能，法院應「選定」未成年人之監護人，以保護未成年人利益。因此除未成年人已結婚者外，未成年人應有監護人以保障其利益。
未成年人小明父母車禍意外死亡，小明無兄弟姊妹，祖父母亦早已亡故，如何替小明「選定」監護人？按民法第1094條第1項規定，依下列順序「定」未成年人之監護人：1、與未成年人同居的祖父母；2、與未成年人同居的兄姊；3、不與未成年人同居的祖父母。（民法第1094條第1項參照）
無法依前述規定順序「定」未成年人之監護人時，法院得依未成年人、四親等內的親屬、檢察官、主管機關或其他利害關係人的聲請，為未成年人的最佳利益，就未成年人的三親等旁系血親尊親屬、主管機關、社會福利機構或其他適當的人「選定」為監護人，並得指定監護方法（民法第1094條第3項參照）。
法院依前述選定未成年人之監護人，或依民法第1106條另行選定監護人時，應同時指定會同開具財產清冊之人。另有臨時監護人之設，即民法第1094條第4項規定。未成年人無監護人，於法院為其「選定」監護人確定前，由當地社會福利主管機關為其監護人（民法第1094條第4項及第5項參照）。"
"小明與小華因為長年的生意競爭，形同水火，某日小明因為氣憤難耐，在與朋友聚餐時揚言要將小華殺死。請問，小明是否該當刑法第305條恐嚇罪？
","按「刑法第305條之恐嚇罪，所稱以加害生命、身體、自由、名譽、財產之事，恐嚇他人者，係指以使人生畏怖心為目的，而通知將加惡害之旨於被害人而言。若僅在外揚言加害，並未對於被害人為惡害之通知，尚難構成本罪。」。本案因為小明並未對小華為惡害之通知，所以並不該當恐嚇罪。
"
小明與小華因為停車糾紛，小明一時情緒失控，搬起路邊的大石，砸破小華所駕汽車之擋風玻璃。請問，小明是否該當刑法第305條恐嚇罪？,按「所謂恐嚇，係指以將來害惡之事通知他人，使其發生恐怖心之謂，舉凡以言詞、文字或舉動相恐嚇，將加害惡於他人之生命、身體、自由、名譽、財產者皆屬之」。本案小明係以兇暴之姿態，搬大石頭砸破被害人小華汽車擋風玻璃，此方法自足以使被害人心生畏懼，該當恐嚇罪。
小華欠小明一百萬元不還，小明在盛怒之下，當面詛咒小華出門被雷公打死。請問，小明是否該當刑法第305條恐嚇罪？,對於恐嚇的行為態樣，必需是人力所能支配的惡害行為。如果是告知人力所不能支配的惡害，並不會構成恐嚇罪。本案小明當面詛咒小華出門被雷公打死之行為並不該當恐嚇罪。
小明看了知名影星代言健身中心的廣告，對明星精壯健美的身材十分嚮往，報名繳交會費成為該健身中心為期一年的會員，打算來好好鍛鍊肌肉、雕塑體態。不巧的是，小明在報名後不久隨即接到了公司的職務調動，須外派至其他縣市半年時間，小明能否解約或有無其他保障權益的方法?,"依「健身中心定型化契約應記載及不得記載事項」第六點規定，如果小明在契約生效後七日內均未使用業者設施或個人教練課程，可以解除契約，並請求全額退還已繳費用；但已逾七日或已經有使用業者的設施、教練課， 則小明可依第七點規定，要求業者退還扣除依簽約時單月使用費乘以實際經過月數（其有未滿十五日者，以半個月計，逾十五日者，以一個月計）之費用。
無法認定簽約時單月使用費者，按契約存續期間比例退還消費者已繳之費用，作為退費金額。業者並得另外請求退費金額之一部分（不得逾退費金額之百分之二十）計算之違約金，以賠償所受損失。
另外依「健身中心定型化契約應記載及不得記載事項」第十點規定，消費者有下列情形之一者，得事先以書面向業者辦理暫停會員權行使，於停權期間，免繳月費，會員權有效期間順延：（一）因出國逾二個月者，依本款辦理暫停會員權益，其期間以____個月為限(不得超過六個月）。但消費者同意得於境外使用業者所提供健身設施者，不在此限。（二）因傷害、疾病或身體不適致不宜運動者。（三）因懷孕或有育養出生未逾六個月嬰兒之需要者。（四）因服兵役致難以行使會員權者。（五）因職務異動或遷居致難以行使會員權者。（六）其他雖不符合前列各款事由，但不可歸責於消費者事由致無法使用健身設備者。
小明因為職務調動的原因可依上述規，以書面向健身中心辦理暫停會員權行使至外派期間結束後再繼續使用該健身中心。"
小華在Y美妝店買了一瓶S廠牌的化妝水，使用過後皮膚隨即出現紅腫、癢痛的反應，小華該向誰請求賠償? 可以透過有什麼管道保障自己的權益?,"依消費者保護法第7條之規定:「從事設計、生產、製造商品或提供服務之企業經營者，於提供商品流通進入市場，或提供服務時，應確保該商品或服務，符合當時科技或專業水準可合理期待之安全性」。同法第8條: 「從事經銷之企業經營者，就商品或服務所生之損害，與設計、生產、製造商品或提供服務之企業經營者連帶負賠償責任。但其對於損害之防免已盡相當之注意，或縱加以相當之注意而仍不免發生損害者，不在此限」。
案例中，Y美妝店為從事經銷之企業經營者、S廠牌商品自造商，二者對消費者之損害負連帶負賠償責任。小華對Y美妝店，S牌廠商皆有損害賠償請求權。
消費者如遇有使用化妝品引起身體不適或傷害時，應立即停用，並保留化妝品以待化驗，找出因果關係，向所在地之消費者保護中心申訴、申請調解或直接向法院、檢察署提出民刑事之告訴，尋求救濟。"
假日只想宅在家的小明，利用速食業者的官方網站訂購外送餐點，預計送餐時間約15至30分鐘，沒想到小明等了一個多小時餐點遲遲未到，致電業者想要取消訂餐，得到的回覆卻是「官網之外送服務條款已有載明: 在訂貨時所提供的交貨時間僅為預估之大約時間，視情形而有不同，客戶不得已超過預計送餐時間為由取消訂購之餐點」；業者所自訂之外送服務條款是否合理?,"速食業者官方網站上的「外送服務條款」屬於消費者保護法(下稱「消保法」)中所定義之「定型化契約條款」，所謂定型化契約係企業經營者基於方便性與不特定多數消費者訂約時，單方預先擬定，無固定型式，不限於書面，張貼、牌示、網際網路、或其他方法表示均屬之。
消費者保護法第11條明文規定，企業經營者在定型化契約中所用的條款，應本「平等互惠」的原則
消費者保護法第12條定型化契約中之條款違反「誠信原則」，對消費者顯失公平者，無效。定型化契約中之條款有下列情形之一者，推定其顯失公平：一、違反平等互惠原則者。二、條款與其所排除不予適用之任意規定之立法意旨顯相矛盾者。三、契約之主要權利或義務，因受條款之限制，致契約之目的難以達成者。
消費者保護法施行細則第14條並補充規定其判斷標準為：定型化契約條款，有下列情事之一者，為違反平等互惠原則：1.對待給付不相當：當事人間的給付與對待給付顯不相當者。2.危險分配不合理：消費者應負擔非其所能控制的危險者。3.違約責任不相當：消費者違約時，應負擔顯不相當的賠償責任者。4.其他不相當情事：其他顯有不利於消費者的情形者。
案例中業者所延長的送餐時間比起預估或承諾的多出好幾倍，消費者對於業者遲延交期的狀況，不僅無法取消訂單，面對延遲送餐的損害，仍必須被迫付費，種種不利於消費者的「外送服務條款」，可能已經違背《消保法》第 11條及第12條「平等互惠原則」、「誠信原則」，而難認為該條款有效。
此外，如有遇到類似消費問題，可以利用市話或手機撥打全國性消費者服務專線「1950」(付費電話)，或向所在地之「消費者服務中心」提出申訴，以保障自身的權利。"
我可以請求國家賠償嗎？,"國家賠償法第2條及第3條定有國家應負損害賠償責任的情形如下：(1)公務員於執行職務行使公權力時，因故意或過失不法侵害人民自由或權利者。(2)公務員怠於執行職務，致人民自由或權利遭受損害者。(3)公共設施因設置或管理有欠缺，致人民生命、身體、人身自由或財產受損害者。(4)公共設施設施委託民間團體或個人管理時，因管理欠缺致人民生命、身體、人身自由或財產受損害者。
如果您認為國家應該對您負損害賠償責任(例如：您是直接被害人、民法第192、194條之人…等)，可以依法以書面向賠償義務機關請求國家賠償，不過是否賠償仍由賠償義務機關及司法機關依案件實際情形決定。"
國家賠償多久以內可以申請？請求權時效期間如何計算？,申請國家賠償必須請您注意請求權時效的規定，若在時效消滅後才申請，有可能會使您權益受到影響。而國家賠償法第8條定有賠償請求權的時效，自請求權人知有損害時起，因2年間不行使而消滅；自損害發生時起，逾5年者亦同。
我要請求國家賠償該怎麼做？文件需要親送嗎？,"若您要請求國家賠償，請填寫「國家賠償請求書」，再由請求權人或代理人(若無則免填)簽名或蓋章，依法須填寫的欄位如下，國家賠償請求書格式可至此下載(https://www.legal.taichung.gov.tw/334445/post)：(1)請求權人之姓名、性別、出生年月日、出生地、身分證統一編號、職業、住所或居所。請求權人為法人或其他團體者，其名稱、主事務所或主營業所及代表人之姓名、性別、住所或居所。 (2)有代理人者，其姓名、性別、出生年月日、出生地、身分證統一編號、職業、住所或居所。 (3)請求賠償之事實、理由及證據。 (4)請求損害賠償之金額或回復原狀之內容。 (5)賠償義務機關。 (6)年、月、日。
另外國家賠償請求並不限於親自送件，亦可以郵寄方式辦理，不過請求國家賠償的日期是以機關「收受」的日期為準，請您務必注意相關請求權時效，以免影響權益。"
我該向誰請求國家賠償？賠償義務機關如何認定？,"請求國家賠償，應先以書面向賠償義務機關請求。而賠償義務機關如何認定，國家賠償法規定如下：
依國家賠償法第2條第2項請求損害賠償者，以該公務員所屬機關為賠償義務機關。
依國家賠償法第3條第1項請求損害賠償者，以該公共設施之設置或管理機關為賠償義務機關。
依國家賠償法第3條第2項請求損害賠償者，以委託機關為賠償義務機關。
若前面所列賠償義務機關經裁撤或改組，以承受其業務之機關為賠償義務機關。無承受其業務之機關，則以其上級機關為賠償義務機關。
假如還是不能依前面情形確定賠償義務機關，或於賠償義務機關有爭議時，得請求其上級機關確定之。其上級機關自被請求之日起超過20日不為確定者，得逕以該上級機關為賠償義務機關。"
我想知道請求國家賠償的話，可以請求什麼項目？須提出哪些文件？,"以下僅簡要說明一般國家賠償案件之請求項目及須檢附之文件供參考，實際應檢附資料須視個案情形而定。若您有請求項目或金額上的疑義，建議您洽詢相關法律專業人士，以保障您的權益：
1.若被害人有受傷情形：
(1)醫療費：請檢附醫療院所出具之診斷證明書及醫療費用單據。
(2)生活需要之增加費用：請檢附相關單據，若係請求看護費用、營養品費或其他醫療用品，請一併檢附相關醫囑。
(3)勞動能力減損或喪失之損害賠償：請檢附醫師鑑定失能項目及失能等級資料、六個月內薪資證明等。
(4)不能工作之薪資損失：請檢附六個月內薪資證明及接受治療不能工作之期間之證明文件等。
(5)慰撫金：若有符合勞工保險失能給付標準附表所載失能等級，請一併檢附相關資料。
2.若財物上受有損害：
(1)修復費用或重置費用：請檢附相關單據等。
(2)具有耗損性質之材料，或修復需更換新品者，需折舊計算。
(3)有投保商業保險者，請檢附相關理賠資料。
3.若被害人不幸死亡
(1)殯葬費：如收殮費及埋葬費等，請檢附相關單據。
(2)扶養費：請檢附被害人年齡、扶養義務人人數等相關資料。
(3)醫療費：請檢附醫療院所出具之診斷證明書及醫療費用單據。
(4)生活需要之增加費用：請檢附相關單據，若係請求看護費用、營養品費或其他醫療用品，請一併檢附相關醫囑。
(5)慰撫金：以被害人之父、母、子、女及配偶為限。胎兒以將來非死產者為限，亦得請求慰撫金。
4.與有過失
若損害之發生或擴大，請求權人或被害人與有過失時，損害賠償數額將依過失之比例核減。"
我向機關請求之後都沒有下文，應如何處理？,您可先向賠償義務機關的承辦人洽詢辦理狀況，若您提出請求後，賠償義務機關自提出請求之日起超過30日不開始協議，或是自開始協議之日起超過60日協議不成立時，您可以依法向法院提起損害賠償之訴。
我為什麼收到拒絕賠償理由書？應如何處理？,若您收到拒絕賠償理由書，通常是被請求賠償損害的機關認為其非賠償義務機關或無賠償義務，而您若不服該拒絕賠償理由書，得依法向法院提起損害賠償之訴。
我不滿意機關提出的協議金額，應如何處理？,若您未申請發給協議不成立證明書，得請求賠償義務機關繼續協議，但以1次為限。或是您也可以依規定申請發給協議不成立證明書，再依法向法院提起損害賠償之訴。
"模特兒小芳與某建設公司富二代小明熱戀交往，小明為了表示對小芳的愛意，在交往期間分別贈送給小芳名牌香水、名牌包包、鑽石項鍊等貴重物品，小芳欣然接受。後來因為雙方個性不合，時常爭吵，於是協議分手。小明在分手後能要求小芳將之前受贈的名牌香水、名牌包包、鑽石項鍊返還嗎？ 
","按「稱贈與者，謂當事人約定，一方以自己之財物無償給與他方，他方允受之契約。」民法第406條定有明文。本案例中，小明係以無償之方式給與小芳名牌香水、名牌包包、鑽石項鍊等物品，所以小明與小芳之間成立贈與契約的法律關係。 
「贈與物之權利未移轉前，贈與人得撤銷其贈與。其一部已移轉者，得就其未移轉之部分撤銷之。」民法第408條第1項定有明文。由於小明贈與給小芳的名牌香水、名牌包包、鑽石項鍊均是『動產』，而依民法第761條第1項前段之規定：「動產物權之讓與，非將動產交付，不生效力。」由此可見，前揭物品既已交付給小芳，故所有權均已移轉，所以小明不得撤銷贈與，也不得要求返還。 
另外「受贈人對於贈與人，有左列情事之一者，贈與人得撤銷其贈與：一、對於贈與人、其配偶、直系血親、三親等內旁系血親或二親等內姻親，有故意侵害之行為，依刑法有處罰之明文者。二、對於贈與人有扶養義務而不履行者。」民法第416條第1項另定有明文。案例中，小芳並無前揭對於小明、小明的配偶、直系血親、三親等內旁系血親或二親等內姻親，有故意侵害之行為，依刑法有處罰之明文；或者對於小明有扶養義務而不履行的情事。所以，小明不得撤銷贈與，也不得要求返還贈送給小芳的物品。"
什麼是訴願？,"訴願為憲法所保障的權利，人民如果遭受公權力的行政處分侵害時，可依程序提起訴願救濟，矯正違法或不當處分，維護法規之正確適用及人民合法權益。
訴願種類大致可分為兩種：一種是人民對於中央或地方機關之行政處分，認為違法或不當，致損害其權利或利益者，得依本法提起訴願。例如：您某天收到了本府建設局的裁處書，裡面記載您於公園內違規騎機車裁罰1200元，這時候您若不服就可以依程序提起訴願來救濟。另一種是人民因中央或地方機關對其依法申請之案件，於法定期間內應作為而不作為，認為損害其權利或利益者，亦得提起訴願。例如您向行政機關依法申請，但是行政機關過了法定期間(法令如果沒有規定就是受理申請之日起二個月)都還沒有給您依法申請的結果，這時候就可以依程序提起訴願來救濟。"
什麼是行政處分？,行政處分是行政機關就公法上具體事件所為的決定或其他公權力措施而對外直接發生法律上效果的單方行政行為。簡單的說，若行政機關的行為直接影響人民權利義務關係，且實際上已對外發生效力，就有可能是行政處分。常見的行政處分例如：行政機關依據其主管法令作出的罰鍰、認定(中)低收入戶資格的函文、土地登記案件駁回通知書…等，如果對於行政處分不服，除了法律有特別規定的救濟程序(例如：道路交通管理處罰條例)外，可以提起訴願來救濟。
誰可以提起訴願呢？,"您若是受行政處分之相對人或利害關係人，則可以提起訴願，例如：您若收到了本府建設局的裁處書記載您為受處分人，您若不服該對外發生法律效力的行政處分，可以提起訴願來救濟您的權利。
另外若您為法人或非法人之團體，則應由代表人或管理人為訴願行為。若為無訴願能力人(例如：未成年人)應由法定代理人(例如：未成年人之父母)代為訴願行為。"
提起訴願需要準備什麼資料？訴願書怎麼寫呢？,"若您要提起訴願，請填寫「訴願書」，再由訴願人或代理人(若無則免填)簽名或蓋章，依法須填寫的欄位如下，訴願書格式可至此下載(https://www.legal.taichung.gov.tw/332230/post)：(1)訴願人之姓名、出生年月日、住、居所、身分證明文件字號。如係法人或其他設有管理人或代表人之團體，其名稱、事務所或營業所及管理人或代表人之姓名、出生年月日、住、居所。(2)有訴願代理人者，其姓名、出生年月日、住、居所、身分證明文件字號。(3)原行政處分機關。(4)訴願請求事項。(5)訴願之事實及理由。(6)收受或知悉行政處分之年、月、日。(7)受理訴願之機關。(8)證據。其為文書者，應添具繕本或影本。(9)填寫訴願書之年、月、日。
如果您有收到原行政處分，請附原行政處分書影本。如果是人民依法申請之案件，行政機關超過法定期間應該做成處分卻不為處分，訴願書請載明「應為行政處分之機關」、「當初提出申請之年、月、日」，並附原申請書之影本及受理申請機關收受證明。"
